ncRNA_Name,ncRNA_Type,Drug_Name,DrugBank_ID,CID
HSA-LET-7G-5P,miRNA,VEMURAFENIB,DB08881,42611257
HSA-LET-7G-5P,miRNA,TEMOZOLOMIDE,DB00853,5394
HSA-LET-7G-5P,miRNA,OXALIPLATIN,DB00526,6857599
HSA-LET-7G-5P,miRNA,DOCETAXEL,DB01248,148124
HSA-LET-7I-5P,miRNA,TAMOXIFEN,DB00675,2733525
HSA-LET-7I-5P,miRNA,PLATINUM,DB12257,23939
HSA-LET-7I-5P,miRNA,CISPLATIN,DB00515,5460033
HSA-LET-7I-5P,miRNA,DABRAFENIB,DB08912,44462760
HSA-LET-7I-5P,miRNA,VEMURAFENIB,DB08881,42611257
HSA-LET-7I-5P,miRNA,PACLITAXEL,DB01229,36314
HSA-LET-7I-5P,miRNA,GEMCITABINE,DB00441,60750
HSA-LET-7I-5P,miRNA,IMATINIB,DB00619,5291
HSA-LET-7I-5P,miRNA,ERLOTINIB,DB00530,176870
HSA-LET-7I-5P,miRNA,GEFITINIB,DB00317,123631
HSA-LET-7I-5P,miRNA,OXALIPLATIN,DB00526,6857599
HSA-MIR-1-3P,miRNA,DOXORUBICIN,DB00997,31703
HSA-MIR-1-3P,miRNA,VERAPAMIL,DB00661,2520
HSA-MIR-1-3P,miRNA,IMATINIB,DB00619,5291
HSA-MIR-1-3P,miRNA,CYCLOPAMINE,NA,442972
HSA-MIR-1-3P,miRNA,PACLITAXEL,DB01229,36314
HSA-MIR-1-3P,miRNA,OXALIPLATIN,DB00526,6857599
HSA-MIR-1-3P,miRNA,CISPLATIN,DB00515,5460033
HSA-MIR-1-3P,miRNA,MITOXANTRONE,DB01204,4212
HSA-MIR-1-3P,miRNA,GEMCITABINE,DB00441,60750
HSA-MIR-1-3P,miRNA,GEFITINIB,DB00317,123631
HSA-MIR-1-3P,miRNA,FULVESTRANT,DB00947,17756771
HSA-MIR-1-3P,miRNA,VINCRISTINE,DB00541,5978
HSA-MIR-1-3P,miRNA,VEMURAFENIB,DB08881,42611257
HSA-MIR-1-3P,miRNA,BROMOCRIPTINE,DB01200,31101
HSA-MIR-1-3P,miRNA,SORAFENIB,DB00398,216239
HSA-MIR-1-3P,miRNA,ETOPOSIDE,DB00773,36462
HSA-MIR-1-3P,miRNA,VINORELBINE,DB00361,44424639
HSA-MIR-100-5P,miRNA,DOXORUBICIN,DB00997,31703
HSA-MIR-100-5P,miRNA,CISPLATIN,DB00515,5460033
HSA-MIR-100-5P,miRNA,VERAPAMIL,DB00661,2520
HSA-MIR-100-5P,miRNA,SORAFENIB,DB00398,216239
HSA-MIR-100-5P,miRNA,PACLITAXEL,DB01229,36314
HSA-MIR-100-5P,miRNA,VINCRISTINE,DB00541,5978
HSA-MIR-100-5P,miRNA,DAUNORUBICIN,DB00694,30323
HSA-MIR-100-5P,miRNA,PREDNISOLONE,DB00860,5755
HSA-MIR-100-5P,miRNA,DOCETAXEL,DB01248,148124
HSA-MIR-100-5P,miRNA,TAMOXIFEN,DB00675,2733525
HSA-MIR-100-5P,miRNA,GEMCITABINE,DB00441,60750
HSA-MIR-100-5P,miRNA,OXALIPLATIN,DB00526,6857599
HSA-MIR-100-5P,miRNA,ETOPOSIDE,DB00773,36462
HSA-MIR-100-5P,miRNA,GEFITINIB,DB00317,123631
HSA-MIR-100-5P,miRNA,DEXAMETHASONE,DB01234,5743
HSA-MIR-100-5P,miRNA,PLX-4720,DB06999,24180719
HSA-MIR-100-5P,miRNA,PLATINUM,DB12257,23939
HSA-MIR-100-5P,miRNA,MITOXANTRONE,DB01204,4212
HSA-MIR-100-5P,miRNA,VEMURAFENIB,DB08881,42611257
HSA-MIR-100-5P,miRNA,DABRAFENIB,DB08912,44462760
HSA-MIR-100-5P,miRNA,TRAMETINIB,DB08911,11707110
HSA-MIR-100-5P,miRNA,CRIZOTINIB,DB08865,11626560
HSA-MIR-100-5P,miRNA,LORLATINIB,DB12130,71731823
HSA-MIR-100-5P,miRNA,FULVESTRANT,DB00947,17756771
HSA-MIR-100-5P,miRNA,FLUOROURACIL,DB00544,3385
HSA-MIR-100-5P,miRNA,BROMOCRIPTINE,DB01200,31101
HSA-MIR-100-5P,miRNA,METHOTREXATE,DB00563,126941
HSA-MIR-100-5P,miRNA,RUXOLITINIB,DB08877,25126798
HSA-MIR-100-5P,miRNA,VINORELBINE,DB00361,44424639
HSA-MIR-101-3P,miRNA,NAVITOCLAX,DB12340,24978538
HSA-MIR-101-3P,miRNA,DOCETAXEL,DB01248,148124
HSA-MIR-101-3P,miRNA,CISPLATIN,DB00515,5460033
HSA-MIR-101-3P,miRNA,DOXORUBICIN,DB00997,31703
HSA-MIR-101-3P,miRNA,FLUOROURACIL,DB00544,3385
HSA-MIR-101-3P,miRNA,PACLITAXEL,DB01229,36314
HSA-MIR-101-3P,miRNA,SIROLIMUS,DB00877,5284616
HSA-MIR-101-3P,miRNA,GEMCITABINE,DB00441,60750
HSA-MIR-101-3P,miRNA,BORTEZOMIB,DB00188,387447
HSA-MIR-101-3P,miRNA,TAMOXIFEN,DB00675,2733525
HSA-MIR-101-3P,miRNA,PLATINUM,DB12257,23939
HSA-MIR-101-3P,miRNA,VINCRISTINE,DB00541,5978
HSA-MIR-101-3P,miRNA,SORAFENIB,DB00398,216239
HSA-MIR-101-3P,miRNA,IMATINIB,DB00619,5291
HSA-MIR-101-3P,miRNA,TEMOZOLOMIDE,DB00853,5394
HSA-MIR-101-3P,miRNA,AZACITIDINE,DB00928,9444
HSA-MIR-101-3P,miRNA,MITOXANTRONE,DB01204,4212
HSA-MIR-101-3P,miRNA,OXALIPLATIN,DB00526,6857599
HSA-MIR-101-3P,miRNA,GEFITINIB,DB00317,123631
HSA-MIR-103A-3P,miRNA,DOXORUBICIN,DB00997,31703
HSA-MIR-103A-3P,miRNA,TAMOXIFEN,DB00675,2733525
HSA-MIR-103A-3P,miRNA,FLUOROURACIL,DB00544,3385
HSA-MIR-103A-3P,miRNA,CAMPTOTHECIN,DB04690,24360
HSA-MIR-103A-3P,miRNA,CISPLATIN,DB00515,5460033
HSA-MIR-103A-3P,miRNA,ETOPOSIDE,DB00773,36462
HSA-MIR-103A-3P,miRNA,OLAPARIB,DB09074,23725625
HSA-MIR-103A-3P,miRNA,OXALIPLATIN,DB00526,6857599
HSA-MIR-103A-3P,miRNA,IMATINIB,DB00619,5291
HSA-MIR-103A-3P,miRNA,PLATINUM,DB12257,23939
HSA-MIR-103A-3P,miRNA,DEXAMETHASONE,DB01234,5743
HSA-MIR-103A-3P,miRNA,GEFITINIB,DB00317,123631
HSA-MIR-103A-3P,miRNA,PACLITAXEL,DB01229,36314
HSA-MIR-103A-3P,miRNA,SORAFENIB,DB00398,216239
HSA-MIR-103A-3P,miRNA,DAUNORUBICIN,DB00694,30323
HSA-MIR-103A-3P,miRNA,CYCLOPHOSPHAMIDE,DB00531,2907
HSA-MIR-103A-3P,miRNA,METHOTREXATE,DB00563,126941
HSA-MIR-105-5P,miRNA,NAVITOCLAX,DB12340,24978538
HSA-MIR-105-5P,miRNA,TAMOXIFEN,DB00675,2733525
HSA-MIR-105-5P,miRNA,DOCETAXEL,DB01248,148124
HSA-MIR-105-5P,miRNA,SORAFENIB,DB00398,216239
HSA-MIR-105-5P,miRNA,CISPLATIN,DB00515,5460033
HSA-MIR-105-5P,miRNA,DABRAFENIB,DB08912,44462760
HSA-MIR-105-5P,miRNA,VEMURAFENIB,DB08881,42611257
HSA-MIR-105-5P,miRNA,FLUOROURACIL,DB00544,3385
HSA-MIR-105-5P,miRNA,GEFITINIB,DB00317,123631
HSA-MIR-105-5P,miRNA,PACLITAXEL,DB01229,36314
HSA-MIR-105-5P,miRNA,PROPOFOL,DB00818,4943
HSA-MIR-106A-5P,miRNA,DOXORUBICIN,DB00997,31703
HSA-MIR-106A-5P,miRNA,CISPLATIN,DB00515,5460033
HSA-MIR-106A-5P,miRNA,TAMOXIFEN,DB00675,2733525
HSA-MIR-106A-5P,miRNA,ETOPOSIDE,DB00773,36462
HSA-MIR-106A-5P,miRNA,PACLITAXEL,DB01229,36314
HSA-MIR-106A-5P,miRNA,VINCRISTINE,DB00541,5978
HSA-MIR-106A-5P,miRNA,GEMCITABINE,DB00441,60750
HSA-MIR-106A-5P,miRNA,OXALIPLATIN,DB00526,6857599
HSA-MIR-106A-5P,miRNA,FLUOROURACIL,DB00544,3385
HSA-MIR-106A-5P,miRNA,GEFITINIB,DB00317,123631
HSA-MIR-106A-5P,miRNA,DASATINIB,DB01254,3062316
HSA-MIR-106A-5P,miRNA,DAUNORUBICIN,DB00694,30323
HSA-MIR-106A-5P,miRNA,TEMOZOLOMIDE,DB00853,5394
HSA-MIR-106B-5P,miRNA,DOXORUBICIN,DB00997,31703
HSA-MIR-106B-5P,miRNA,SORAFENIB,DB00398,216239
HSA-MIR-106B-5P,miRNA,PACLITAXEL,DB01229,36314
HSA-MIR-106B-5P,miRNA,CISPLATIN,DB00515,5460033
HSA-MIR-106B-5P,miRNA,FLUOROURACIL,DB00544,3385
HSA-MIR-106B-5P,miRNA,OXALIPLATIN,DB00526,6857599
HSA-MIR-106B-5P,miRNA,TAMOXIFEN,DB00675,2733525
HSA-MIR-106B-5P,miRNA,AXITINIB,DB06626,6450551
HSA-MIR-106B-5P,miRNA,NUTLIN-3,DB17039,216345
HSA-MIR-106B-5P,miRNA,DAUNORUBICIN,DB00694,30323
HSA-MIR-106B-5P,miRNA,GEFITINIB,DB00317,123631
HSA-MIR-106B-5P,miRNA,GEMCITABINE,DB00441,60750
HSA-MIR-106B-5P,miRNA,TEMOZOLOMIDE,DB00853,5394
HSA-MIR-107,miRNA,CERITINIB,DB09063,57379345
HSA-MIR-107,miRNA,DOXORUBICIN,DB00997,31703
HSA-MIR-107,miRNA,PACLITAXEL,DB01229,36314
HSA-MIR-107,miRNA,TAMOXIFEN,DB00675,2733525
HSA-MIR-107,miRNA,FLUOROURACIL,DB00544,3385
HSA-MIR-107,miRNA,CAMPTOTHECIN,DB04690,24360
HSA-MIR-107,miRNA,CISPLATIN,DB00515,5460033
HSA-MIR-107,miRNA,ETOPOSIDE,DB00773,36462
HSA-MIR-107,miRNA,OLAPARIB,DB09074,23725625
HSA-MIR-107,miRNA,OXALIPLATIN,DB00526,6857599
HSA-MIR-107,miRNA,IMATINIB,DB00619,5291
HSA-MIR-107,miRNA,PLATINUM,DB12257,23939
HSA-MIR-107,miRNA,TRAMETINIB,DB08911,11707110
HSA-MIR-107,miRNA,VEMURAFENIB,DB08881,42611257
HSA-MIR-107,miRNA,PARTHENOLIDE,DB13063,6473881
HSA-MIR-107,miRNA,SORAFENIB,DB00398,216239
HSA-MIR-107,miRNA,APICIDIN,NA,6918328
HSA-MIR-107,miRNA,VORINOSTAT,DB02546,5311
HSA-MIR-10A-5P,miRNA,DOXORUBICIN,DB00997,31703
HSA-MIR-10A-5P,miRNA,VERAPAMIL,DB00661,2520
HSA-MIR-10A-5P,miRNA,CISPLATIN,DB00515,5460033
HSA-MIR-10A-5P,miRNA,IMATINIB,DB00619,5291
HSA-MIR-10A-5P,miRNA,TAMOXIFEN,DB00675,2733525
HSA-MIR-10A-5P,miRNA,CYCLOPAMINE,NA,442972
HSA-MIR-10A-5P,miRNA,PACLITAXEL,DB01229,36314
HSA-MIR-10A-5P,miRNA,GEMCITABINE,DB00441,60750
HSA-MIR-10A-5P,miRNA,VINORELBINE,DB00361,44424639
HSA-MIR-10A-5P,miRNA,CYTARABINE,DB00987,6253
HSA-MIR-10A-5P,miRNA,SORAFENIB,DB00398,216239
HSA-MIR-10A-5P,miRNA,GEFITINIB,DB00317,123631
HSA-MIR-10A-5P,miRNA,TEMOZOLOMIDE,DB00853,5394
HSA-MIR-10A-5P,miRNA,CERITINIB,DB09063,57379345
HSA-MIR-10A-5P,miRNA,FLUOROURACIL,DB00544,3385
HSA-MIR-10A-5P,miRNA,PLATINUM,DB12257,23939
HSA-MIR-10A-5P,miRNA,OXALIPLATIN,DB00526,6857599
HSA-MIR-10B-5P,miRNA,DOXORUBICIN,DB00997,31703
HSA-MIR-10B-5P,miRNA,VERAPAMIL,DB00661,2520
HSA-MIR-10B-5P,miRNA,CISPLATIN,DB00515,5460033
HSA-MIR-10B-5P,miRNA,FLUOROURACIL,DB00544,3385
HSA-MIR-10B-5P,miRNA,CYCLOPAMINE,NA,442972
HSA-MIR-10B-5P,miRNA,PACLITAXEL,DB01229,36314
HSA-MIR-10B-5P,miRNA,GEMCITABINE,DB00441,60750
HSA-MIR-10B-5P,miRNA,OXALIPLATIN,DB00526,6857599
HSA-MIR-10B-5P,miRNA,GEFITINIB,DB00317,123631
HSA-MIR-10B-5P,miRNA,CYTARABINE,DB00987,6253
HSA-MIR-10B-5P,miRNA,TAXANE,NA,9548828
HSA-MIR-10B-5P,miRNA,TAMOXIFEN,DB00675,2733525
HSA-MIR-10B-5P,miRNA,SORAFENIB,DB00398,216239
HSA-MIR-10B-5P,miRNA,PLATINUM,DB12257,23939
HSA-MIR-10B-5P,miRNA,HYALURONAN,DB08818,24759
HSA-MIR-10B-5P,miRNA,AZACITIDINE,DB00928,9444
HSA-MIR-10B-5P,miRNA,CERITINIB,DB09063,57379345
HSA-MIR-10B-5P,miRNA,TRAMETINIB,DB08911,11707110
HSA-MIR-10B-5P,miRNA,VEMURAFENIB,DB08881,42611257
HSA-MIR-10B-5P,miRNA,ETOPOSIDE,DB00773,36462
HSA-MIR-10B-5P,miRNA,VINORELBINE,DB00361,44424639
HSA-MIR-10B-5P,miRNA,VINCRISTINE,DB00541,5978
HSA-MIR-1178-3P,miRNA,OXALIPLATIN,DB00526,6857599
HSA-MIR-1178-3P,miRNA,TRAMETINIB,DB08911,11707110
HSA-MIR-1178-3P,miRNA,VEMURAFENIB,DB08881,42611257
HSA-MIR-1179,miRNA,OXALIPLATIN,DB00526,6857599
HSA-MIR-1180-3P,miRNA,PACLITAXEL,DB01229,36314
HSA-MIR-1180-3P,miRNA,CISPLATIN,DB00515,5460033
HSA-MIR-1180-3P,miRNA,FLUOROURACIL,DB00544,3385
HSA-MIR-1180-3P,miRNA,GEMCITABINE,DB00441,60750
HSA-MIR-1180-3P,miRNA,DABRAFENIB,DB08912,44462760
HSA-MIR-1181,miRNA,OXALIPLATIN,DB00526,6857599
HSA-MIR-1181,miRNA,PLATINUM,DB12257,23939
HSA-MIR-1181,miRNA,SORAFENIB,DB00398,216239
HSA-MIR-1181,miRNA,PACLITAXEL,DB01229,36314
HSA-MIR-1181,miRNA,CISPLATIN,DB00515,5460033
HSA-MIR-1182,miRNA,CISPLATIN,DB00515,5460033
HSA-MIR-1182,miRNA,OXALIPLATIN,DB00526,6857599
HSA-MIR-1182,miRNA,PLATINUM,DB12257,23939
HSA-MIR-1182,miRNA,GEMCITABINE,DB00441,60750
HSA-MIR-1182,miRNA,TRAMETINIB,DB08911,11707110
HSA-MIR-1182,miRNA,VEMURAFENIB,DB08881,42611257
HSA-MIR-1182,miRNA,DOCETAXEL,DB01248,148124
HSA-MIR-1183,miRNA,CISPLATIN,DB00515,5460033
HSA-MIR-1183,miRNA,OXALIPLATIN,DB00526,6857599
HSA-MIR-1183,miRNA,PLATINUM,DB12257,23939
HSA-MIR-1183,miRNA,TRAMETINIB,DB08911,11707110
HSA-MIR-1183,miRNA,VEMURAFENIB,DB08881,42611257
HSA-MIR-1197,miRNA,PACLITAXEL,DB01229,36314
HSA-MIR-1200,miRNA,PACLITAXEL,DB01229,36314
HSA-MIR-1200,miRNA,OXALIPLATIN,DB00526,6857599
HSA-MIR-1200,miRNA,IMATINIB,DB00619,5291
HSA-MIR-1200,miRNA,TEMOZOLOMIDE,DB00853,5394
HSA-MIR-1203,miRNA,TEMOZOLOMIDE,DB00853,5394
HSA-MIR-1204,miRNA,PACLITAXEL,DB01229,36314
HSA-MIR-1204,miRNA,VEMURAFENIB,DB08881,42611257
HSA-MIR-1204,miRNA,TRAMETINIB,DB08911,11707110
HSA-MIR-1204,miRNA,GEMCITABINE,DB00441,60750
HSA-MIR-1205,miRNA,DOCETAXEL,DB01248,148124
HSA-MIR-1206,miRNA,OXALIPLATIN,DB00526,6857599
HSA-MIR-1206,miRNA,GEMCITABINE,DB00441,60750
HSA-MIR-122-5P,miRNA,DOXORUBICIN,DB00997,31703
HSA-MIR-122-5P,miRNA,SORAFENIB,DB00398,216239
HSA-MIR-122-5P,miRNA,CISPLATIN,DB00515,5460033
HSA-MIR-122-5P,miRNA,VINCRISTINE,DB00541,5978
HSA-MIR-122-5P,miRNA,BORTEZOMIB,DB00188,387447
HSA-MIR-122-5P,miRNA,FLUOROURACIL,DB00544,3385
HSA-MIR-122-5P,miRNA,OXALIPLATIN,DB00526,6857599
HSA-MIR-122-5P,miRNA,GEFITINIB,DB00317,123631
HSA-MIR-122-5P,miRNA,PACLITAXEL,DB01229,36314
HSA-MIR-122-5P,miRNA,FULVESTRANT,DB00947,17756771
HSA-MIR-122-5P,miRNA,BROMOCRIPTINE,DB01200,31101
HSA-MIR-1225-3P,miRNA,CERITINIB,DB09063,57379345
HSA-MIR-1226-3P,miRNA,FLUOROURACIL,DB00544,3385
HSA-MIR-1226-3P,miRNA,GEMCITABINE,DB00441,60750
HSA-MIR-1226-3P,miRNA,DOXORUBICIN,DB00997,31703
HSA-MIR-1226-3P,miRNA,IMATINIB,DB00619,5291
HSA-MIR-1226-3P,miRNA,CISPLATIN,DB00515,5460033
HSA-MIR-1226-3P,miRNA,TAMOXIFEN,DB00675,2733525
HSA-MIR-1226-3P,miRNA,SORAFENIB,DB00398,216239
HSA-MIR-1226-3P,miRNA,OXALIPLATIN,DB00526,6857599
HSA-MIR-1228-3P,miRNA,FLUOROURACIL,DB00544,3385
HSA-MIR-1228-3P,miRNA,GEMCITABINE,DB00441,60750
HSA-MIR-1228-3P,miRNA,IMATINIB,DB00619,5291
HSA-MIR-1228-3P,miRNA,PLATINUM,DB12257,23939
HSA-MIR-1228-3P,miRNA,GEFITINIB,DB00317,123631
HSA-MIR-1228-3P,miRNA,PONATINIB,DB08901,24826799
HSA-MIR-1228-3P,miRNA,TAMOXIFEN,DB00675,2733525
HSA-MIR-1228-3P,miRNA,FULVESTRANT,DB00947,17756771
HSA-MIR-1228-3P,miRNA,CISPLATIN,DB00515,5460033
HSA-MIR-1231,miRNA,CISPLATIN,DB00515,5460033
HSA-MIR-1231,miRNA,DABRAFENIB,DB08912,44462760
HSA-MIR-1231,miRNA,VEMURAFENIB,DB08881,42611257
HSA-MIR-1231,miRNA,PACLITAXEL,DB01229,36314
HSA-MIR-1231,miRNA,DOXORUBICIN,DB00997,31703
HSA-MIR-1231,miRNA,FULVESTRANT,DB00947,17756771
HSA-MIR-1231,miRNA,TAMOXIFEN,DB00675,2733525
HSA-MIR-1231,miRNA,GEMCITABINE,DB00441,60750
HSA-MIR-1233-3P,miRNA,NAVITOCLAX,DB12340,24978538
HSA-MIR-1233-3P,miRNA,OXALIPLATIN,DB00526,6857599
HSA-MIR-1233-3P,miRNA,DOXORUBICIN,DB00997,31703
HSA-MIR-1233-3P,miRNA,TAMOXIFEN,DB00675,2733525
HSA-MIR-1233-3P,miRNA,FULVESTRANT,DB00947,17756771
HSA-MIR-1236-3P,miRNA,OXALIPLATIN,DB00526,6857599
HSA-MIR-1236-3P,miRNA,VINCRISTINE,DB00541,5978
HSA-MIR-1236-3P,miRNA,DOXORUBICIN,DB00997,31703
HSA-MIR-1236-3P,miRNA,PREDNISONE,DB00635,5865
HSA-MIR-1236-3P,miRNA,FLUOROURACIL,DB00544,3385
HSA-MIR-1236-3P,miRNA,GEMCITABINE,DB00441,60750
HSA-MIR-1236-3P,miRNA,CISPLATIN,DB00515,5460033
HSA-MIR-1236-3P,miRNA,DOCETAXEL,DB01248,148124
HSA-MIR-124-3P,miRNA,PAROXETINE,DB00715,43815
HSA-MIR-124-3P,miRNA,DOXORUBICIN,DB00997,31703
HSA-MIR-124-3P,miRNA,VINBLASTINE,DB00570,442111
HSA-MIR-124-3P,miRNA,CAMPTOTHECIN,DB04690,24360
HSA-MIR-124-3P,miRNA,ETOPOSIDE,DB00773,36462
HSA-MIR-124-3P,miRNA,FLUOROURACIL,DB00544,3385
HSA-MIR-124-3P,miRNA,TEMOZOLOMIDE,DB00853,5394
HSA-MIR-124-3P,miRNA,CISPLATIN,DB00515,5460033
HSA-MIR-124-3P,miRNA,ENZALUTAMIDE,DB08899,15951529
HSA-MIR-124-3P,miRNA,GEFITINIB,DB00317,123631
HSA-MIR-124-3P,miRNA,PREDNISONE,DB00635,5865
HSA-MIR-124-3P,miRNA,GEMCITABINE,DB00441,60750
HSA-MIR-124-3P,miRNA,ERLOTINIB,DB00530,176870
HSA-MIR-124-3P,miRNA,CARBOPLATIN,DB00958,38904
HSA-MIR-124-3P,miRNA,SORAFENIB,DB00398,216239
HSA-MIR-124-3P,miRNA,DOCETAXEL,DB01248,148124
HSA-MIR-1243,miRNA,DOXORUBICIN,DB00997,31703
HSA-MIR-1243,miRNA,GEMCITABINE,DB00441,60750
HSA-MIR-1243,miRNA,PALBOCICLIB,DB09073,5330286
HSA-MIR-1244,miRNA,CISPLATIN,DB00515,5460033
HSA-MIR-1244,miRNA,FULVESTRANT,DB00947,17756771
HSA-MIR-1244,miRNA,TAMOXIFEN,DB00675,2733525
HSA-MIR-1244,miRNA,GEMCITABINE,DB00441,60750
HSA-MIR-1245A,miRNA,TRAMETINIB,DB08911,11707110
HSA-MIR-1245A,miRNA,VEMURAFENIB,DB08881,42611257
HSA-MIR-1246,miRNA,CISPLATIN,DB00515,5460033
HSA-MIR-1246,miRNA,GEMCITABINE,DB00441,60750
HSA-MIR-1246,miRNA,OXALIPLATIN,DB00526,6857599
HSA-MIR-1246,miRNA,PACLITAXEL,DB01229,36314
HSA-MIR-1246,miRNA,DOXORUBICIN,DB00997,31703
HSA-MIR-1246,miRNA,VINCRISTINE,DB00541,5978
HSA-MIR-1246,miRNA,FLUOROURACIL,DB00544,3385
HSA-MIR-1246,miRNA,BORTEZOMIB,DB00188,387447
HSA-MIR-1246,miRNA,MITOXANTRONE,DB01204,4212
HSA-MIR-1246,miRNA,DOCETAXEL,DB01248,148124
HSA-MIR-1246,miRNA,SORAFENIB,DB00398,216239
HSA-MIR-1246,miRNA,EPIRUBICIN,DB00445,41867
HSA-MIR-1246,miRNA,VINORELBINE,DB00361,44424639
HSA-MIR-1246,miRNA,PLX-4720,DB06999,24180719
HSA-MIR-1246,miRNA,DABRAFENIB,DB08912,44462760
HSA-MIR-1246,miRNA,VEMURAFENIB,DB08881,42611257
HSA-MIR-1246,miRNA,TRAMETINIB,DB08911,11707110
HSA-MIR-1246,miRNA,ERLOTINIB,DB00530,176870
HSA-MIR-1246,miRNA,TEMOZOLOMIDE,DB00853,5394
HSA-MIR-1247-5P,miRNA,OXALIPLATIN,DB00526,6857599
HSA-MIR-1247-5P,miRNA,GEMCITABINE,DB00441,60750
HSA-MIR-1247-5P,miRNA,VINCRISTINE,DB00541,5978
HSA-MIR-1247-5P,miRNA,CERITINIB,DB09063,57379345
HSA-MIR-1247-5P,miRNA,SUNITINIB,DB01268,5329102
